id,name,address,roadAddress,displayCode,displayName,city_id,city_name,point_x,point_y,routeType_id,routeType_name,transfers,,,자치구_코드_명,면적(km²),지하철역_수,지하철역_밀도(개/km²)
30116,유성온천,대전광역시 유성구 봉명동 240,대전광역시 유성구 계룡로 97,116,유성온천역,3000,대전,127.3415441,36.3537237,31,1호선,,,,,,,
107,양주,경기도 양주시 남방동 94-1,경기도 양주시 평화로 919,107,양주역,1000,서울,127.0447222,37.7742902,1,1호선,,,,,,,
70127,온천장,부산광역시 동래구 온천동 1750-1,부산광역시 동래구 중앙대로 1520,127,온천장역,7000,부산,129.0863989,35.2202836,71,1호선,,,,,,,
40139,해안,대구광역시 동구 방촌동 1139-1,대구광역시 동구 동촌로 167,139,해안역,4000,대구,128.6598544,35.8835098,41,1호선,,,,,,,
50122,운천,광주광역시 서구 쌍촌동 1006,광주광역시 서구 상무대로 883,112,운천역,5000,광주,126.8586191,35.1505166,51,1호선,,,,,,,
30115,갑천,대전광역시 서구 월평동 1555,대전광역시 서구 갑천도시고속도로 1833,115,갑천역,3000,대전,127.3545957,36.3546816,31,1호선,,,,,,,
108,녹양,경기도 의정부시 녹양동 96-1,경기도 의정부시 평화로 757,108,녹양역,1000,서울,127.0422889,37.7594386,1,1호선,,,,,,,
70126,명륜,부산광역시 동래구 온천동 489-4,부산광역시 동래구 중앙대로 1414,126,명륜역,7000,부산,129.0796555,35.2125393,71,1호선,,,,,,,
40138,동촌,대구광역시 동구 검사동 1104,대구광역시 동구 해동로 197,138,동촌역,4000,대구,128.6501383,35.8861435,41,1호선,,,,,,,
50121,쌍촌,광주광역시 서구 쌍촌동 1006,광주광역시 서구 상무대로 983,111,쌍촌역,5000,광주,126.8695921,35.1516239,51,1호선,,,,,,,
30114,월평,대전광역시 서구 월평동 1503-1,대전광역시 서구 한밭대로 595,114,월평역,3000,대전,127.3643586,36.3582684,31,1호선,,,,,,,
110,가능,경기도 의정부시 가능동 197-1,경기도 의정부시 평화로 633,109,가능역,1000,서울,127.044272,37.7483704,1,1호선,,,,,,,
70125,동래,부산광역시 동래구 온천동 527,부산광역시 동래구 중앙대로 1324,125,동래역,7000,부산,129.0784712,35.2055969,71,1호선,70402,,,,,,
40137,아양교,대구광역시 동구 신암동 1575,대구광역시 동구 아양로 245,137,아양교역,4000,대구,128.6398593,35.887195,41,1호선,,,,,,,
50120,화정,광주광역시 서구 화정동 791,광주광역시 서구 상무대로 1041,110,화정역,5000,광주,126.8767616,35.1519671,51,1호선,,,,,,,
30113,갈마,대전광역시 서구 갈마동 1462,대전광역시 서구 한밭대로 666,113,갈마역,3000,대전,127.3727563,36.3575516,31,1호선,,,,,,,
111,의정부,경기도 의정부시 의정부동 168-54,경기도 의정부시 평화로 525,110,의정부역,1000,서울,127.0461031,37.7377829,1,1호선,,,,,,,
70124,교대,부산광역시 연제구 거제동 72-25,부산광역시 연제구 중앙대로 1217,124,교대역,7000,부산,129.0799855,35.1955928,71,1호선,70824,,,,,,
70402,동래,부산광역시 동래구 온천동 1486,부산광역시 동래구 충렬대로 147,402,동래역,7000,부산,129.0771395,35.2047979,74,4호선,70125,,,,,,
40136,동구청,대구광역시 동구 신암동 369,대구광역시 동구 신암남로 169,136,동구청역,4000,대구,128.6321773,35.8843567,41,1호선,,,,,,,
50119,농성,광주광역시 서구 농성동 483-11,광주광역시 서구 상무대로 1123,109,농성역,5000,광주,126.8839051,35.1532966,51,1호선,,,,,,,
30112,정부청사,대전광역시 서구 둔산동 1515-1,대전광역시 서구 한밭대로 744,112,정부청사역,3000,대전,127.3811596,36.3574365,31,1호선,,,,,,,
112,회룡,경기도 의정부시 호원동 50-5,경기도 의정부시 평화로 363,111,회룡역,1000,서울,127.0473391,37.7240454,1,1호선,11002,,,,,,
70123,연산,부산광역시 연제구 연산동 1515-1,부산광역시 연제구 중앙대로 1101,123,연산역,7000,부산,129.0815627,35.1861709,71,1호선,70305,,,,,,
70824,교대,부산광역시 연제구 거제동 42-3,부산광역시 연제구 중앙대로 1196,K113,교대역,7000,부산,129.0795022,35.1937434,78,동해선,70124,,,,,,
70403,수안,부산광역시 동래구 수안동 204-2,부산광역시 동래구 충렬대로 223,403,수안역,7000,부산,129.0838796,35.201771,74,4호선,,,,,,,
